Year,Id,Predicted.Values
2015,00949726,Retained
2015,00949732,Retained
2015,00949845,Retained
2014,00949944,Retained
2015,00949950,Retained
2015,00949983,Retained
2014,00950115,Retained
2015,00950115,Retained
2015,00950616,Retained
2014,00951215,Retained
2014,00951504,Retained
2015,00951620,Retained
2014,00951834,Retained
2014,00951869,Retained
2014,00952108,Retained
2014,00952112,Retained
2014,00952220,Retained
2015,00952378,Retained
2014,00952506,Retained
2014,00952815,Retained
2015,00952855,Retained
2015,00953248,Retained
2015,00953884,Retained
2015,00954175,Retained
2015,00954938,Retained
2014,00955821,Retained
2015,00956186,Retained
2015,00956533,Retained
2014,00957125,Retained
2015,00957656,Retained
2015,00957661,Retained
2015,00957849,Retained
2014,00957982,Retained
2014,00958124,Retained
2015,00958151,Retained
2015,00958258,Retained
2014,00958405,Retained
2015,00959082,Retained
2015,00959477,Retained
2014,00959565,Retained
2015,00959615,Retained
2015,00959618,Retained
2015,00959631,Retained
2015,00959635,Retained
2015,00960074,Retained
2015,00960531,Retained
2015,00960543,Retained
2014,00961411,Retained
2014,00962575,Retained
2013,00962654,Retained
2014,00962690,Retained
2015,00963510,Retained
2015,00963666,Retained
2015,00963725,Retained
2015,00964008,Retained
2014,00964059,Retained
2015,00964278,Retained
2014,00964525,Retained
2014,00964579,Retained
2015,00964877,Retained
2015,00965164,Retained
2015,00965398,Retained
2015,00965624,Retained
2015,00966010,Retained
2015,00966305,Retained
2015,00966577,Retained
2014,00966686,Retained
2015,00966815,Retained
2015,00966907,Retained
2014,00967543,Retained
2014,00967592,Retained
2015,00968234,Retained
2015,00968267,Retained
2015,00968312,Retained
2014,00968316,Retained
2015,00968403,Retained
2015,00968534,Retained
2015,00968636,Retained
2015,00968863,Retained
2015,00968978,Retained
2015,00969096,Retained
2014,00969442,Retained
2014,00969581,Retained
2015,00969599,Retained
2015,00969867,Retained
2015,00969925,Retained
2015,00970114,Retained
2014,00970148,Retained
2015,00970155,Retained
2014,00970379,Retained
2015,00970417,Retained
2014,00970843,Retained
2015,00971198,Retained
2014,00971249,Retained
2015,00971928,Retained
2014,00972608,Retained
2015,00972612,Retained
2015,00972927,Retained
2014,00973562,Retained
2014,00973623,Retained
2015,00973633,Retained
2014,00974323,Retained
2015,00974911,Retained
2014,00975041,Retained
2014,00975071,Retained
2015,00975731,Retained
2015,00975826,Retained
2014,00976851,Retained
2014,00977055,Retained
2015,00977613,Retained
2015,00977727,Retained
2015,00978153,Retained
2014,00978836,Retained
2015,00978836,Retained
2013,00979017,Retained
2015,00979060,Retained
2014,00979166,Retained
2015,00979342,Retained
2015,00979395,Retained
2015,00979414,Retained
2014,00979425,Retained
2015,00980028,Retained
2014,00980232,Retained
2015,00980371,Retained
2015,00980918,Retained
2014,00981027,Retained
2014,00981046,Retained
2015,00981061,Retained
2014,00981920,Retained
2015,00982323,Retained
2014,00982551,Retained
2014,00983398,Retained
2015,00984857,Retained
2015,00984928,Retained
2014,00985003,Retained
2015,00985040,Retained
2014,00985081,Retained
2014,00985443,Retained
2014,00985631,Retained
2015,00985748,Retained
2013,00985765,Retained
2014,00985765,Retained
2014,00986000,Retained
2014,00987115,Retained
2015,00987236,Retained
2015,00987341,Retained
2015,00987441,Retained
2014,00987508,Retained
2015,00987580,Retained
2014,00987667,Retained
2015,00987700,Retained
2015,00987887,Retained
2015,00987979,Retained
2014,00988305,Retained
2015,00988308,Retained
2015,00988322,Retained
2014,00988636,Retained
2015,00988658,Retained
2014,00988715,Retained
2015,00988840,Retained
2015,00988863,Retained
2014,00988897,Retained
2015,00988897,Retained
2015,00988998,Retained
2015,00989115,Retained
2012,00989309,Retained
2015,00989333,Retained
2014,00989798,Lost
2015,00990136,Retained
2015,00990344,Retained
2015,00990373,Retained
2015,00990396,Retained
2013,00990561,Retained
2014,00990918,Retained
2013,00991145,Retained
2015,00991796,Retained
2014,00992057,Lost
2015,00992450,Retained
2015,00992587,Retained
2014,00992600,Lost
2014,00992882,Retained
2015,00993032,Retained
2015,00993172,Retained
2014,00993304,Retained
2014,00993870,Retained
2014,00994779,Retained
2015,00995567,Retained
2015,00996077,Retained
2015,00996451,Retained
2013,00996856,Retained
2015,00996874,Retained
2014,00997486,Retained
2014,00997858,Retained
2014,00997905,Retained
2015,00998403,Retained
2014,00999301,Retained
2015,00999492,Retained
2014,00999716,Lost
2014,00999883,Retained
2014,01000320,Retained
2015,01001128,Retained
2013,01001196,Retained
2014,01001263,Retained
2015,01001362,Retained
2015,01001509,Retained
2015,01002025,Retained
2014,01002261,Retained
2015,01002336,Retained
2015,01002803,Retained
2015,01003401,Retained
2014,01003418,Retained
2013,01003544,Lost
2014,01003619,Retained
2015,01003845,Retained
2015,01004075,Retained
2015,01004300,Retained
2015,01005283,Retained
2015,01005377,Retained
2014,01005506,Retained
2015,01005650,Retained
2014,01005664,Retained
2015,01005674,Retained
2015,01005881,Retained
2014,01005968,Lost
2015,01006004,Retained
2015,01006311,Retained
2015,01006495,Retained
2015,01006746,Retained
2015,01006779,Retained
2015,01006808,Retained
2015,01006821,Retained
2015,01007082,Retained
2015,01007186,Retained
2015,01007267,Retained
2014,01007606,Retained
2015,01007624,Retained
2015,01007952,Retained
2015,01008070,Retained
2014,01008649,Retained
2015,01008725,Retained
2014,01008740,Retained
2014,01008847,Retained
2014,01008851,Retained
2015,01009736,Retained
2015,01009799,Retained
2014,01009872,Retained
2015,01009952,Retained
2015,01009997,Retained
2015,01010121,Retained
2014,01010216,Retained
2015,01010299,Retained
2015,01010303,Retained
2015,01010355,Retained
2015,01010581,Retained
2015,01010776,Retained
2015,01010882,Retained
2014,01010920,Retained
2014,01011355,Retained
2015,01011932,Retained
2015,01012273,Retained
2013,01012288,Lost
2015,01012541,Retained
2015,01012712,Retained
2015,01013156,Retained
2015,01013338,Retained
2015,01013632,Retained
2015,01014038,Retained
2015,01014268,Retained
2014,01014440,Retained
2015,01014524,Retained
2014,01014572,Retained
2014,01014640,Retained
2015,01014695,Retained
2015,01015096,Retained
2015,01015274,Retained
2014,01015578,Retained
2015,01015923,Retained
2014,01016422,Retained
2015,01016449,Retained
2014,01016845,Retained
2015,01017247,Retained
2015,01017355,Retained
2014,01017444,Retained
2015,01017751,Retained
2015,01017775,Retained
2014,01018047,Retained
2014,01018216,Retained
2015,01018260,Retained
2015,01018272,Retained
2015,01018273,Retained
2015,01018771,Retained
2014,01018812,Retained
2015,01019027,Retained
2014,01019224,Retained
2014,01019275,Retained
2014,01019282,Retained
2015,01019605,Retained
2015,01020697,Retained
2015,01020988,Retained
2015,01021026,Retained
2015,01021070,Retained
2015,01021195,Retained
2015,01021373,Retained
2015,01021574,Retained
2015,01021595,Retained
2014,01022088,Lost
2015,01022136,Retained
2015,01022225,Retained
2015,01022282,Retained
2015,01022456,Retained
2014,01022511,Lost
2015,01022708,Retained
2015,01022996,Retained
2014,01023158,Retained
2015,01023439,Retained
2015,01023641,Retained
2015,01023922,Retained
2015,01024348,Retained
2014,01024410,Retained
2015,01024449,Retained
2014,01024502,Retained
2015,01024652,Retained
2014,01024778,Retained
2015,01024787,Retained
2015,01025103,Retained
2015,01025504,Retained
2014,01025522,Retained
2014,01025876,Retained
2015,01026304,Retained
2014,01026439,Lost
2015,01026549,Retained
2015,01026560,Retained
2015,01026569,Retained
2015,01026672,Retained
2015,01026830,Retained
2014,01026882,Retained
2015,01027025,Retained
2014,01027303,Retained
2014,01027393,Retained
2015,01027549,Retained
2014,01027677,Retained
2015,01027738,Retained
2015,01028132,Retained
2014,01028136,Retained
2015,01028376,Retained
2014,01028382,Retained
2014,01028396,Retained
2014,01028470,Retained
2015,01028530,Retained
2014,01028939,Lost
2015,01029190,Retained
2015,01029207,Retained
2015,01029217,Retained
2014,01029275,Retained
2015,01029546,Retained
2015,01029697,Retained
2014,01029702,Retained
2015,01029801,Retained
2015,01029990,Retained
2015,01030075,Retained
2014,01030281,Retained
2015,01030625,Retained
2014,01030808,Retained
2014,01030832,Retained
2015,01031029,Retained
2013,01032356,Lost
2015,01032459,Retained
2015,01032507,Retained
2015,01033465,Retained
2015,01033771,Retained
2014,01033845,Retained
2015,01033855,Retained
2014,01034758,Retained
2015,01034971,Retained
2014,01035085,Retained
2014,01035144,Retained
2015,01035711,Retained
2015,01036228,Retained
2015,01037009,Retained
2015,01037690,Retained
2015,01038052,Retained
2014,01038234,Retained
2015,01038250,Retained
2013,01038453,Retained
2015,01038462,Retained
2014,01038562,Retained
2014,01038588,Retained
2015,01038732,Retained
2015,01039138,Retained
2014,01039317,Retained
2015,01039317,Retained
2014,01039329,Retained
2015,01039574,Retained
2014,01039629,Retained
2015,01040048,Retained
2015,01040131,Retained
2015,01040200,Retained
2015,01040305,Retained
2015,01040458,Retained
2015,01040685,Retained
2015,01041134,Retained
2015,01041615,Retained
2015,01041827,Retained
2014,01042296,Retained
2015,01042424,Retained
2015,01042664,Retained
2012,01042992,Retained
2015,01043047,Retained
2015,01043347,Retained
2015,01043357,Retained
2015,01043423,Retained
2015,01043452,Retained
2015,01043495,Retained
2015,01043622,Retained
2015,01043641,Retained
2015,01043789,Retained
2015,01044562,Retained
2013,01044706,Retained
2015,01044734,Retained
2015,01044825,Retained
2015,01044848,Retained
2015,01045454,Retained
2015,01045615,Retained
2014,01045693,Retained
2015,01045769,Retained
2015,01046072,Retained
2014,01046097,Retained
2014,01046137,Retained
2014,01046386,Retained
2014,01046571,Retained
2015,01046598,Retained
2015,01047246,Retained
2015,01047406,Retained
2015,01047614,Retained
2015,01047656,Retained
2014,01047720,Retained
2015,01047908,Retained
2015,01047925,Retained
2015,01048407,Retained
2015,01049249,Retained
2015,01049803,Retained
2015,01050536,Retained
2015,01050557,Retained
2015,01051324,Retained
2015,01051609,Retained
2013,01051943,Retained
2015,01052060,Retained
2015,01052179,Retained
2015,01052247,Retained
2015,01052559,Retained
2015,01052708,Retained
2015,01052845,Retained
2014,01052937,Retained
2013,01053060,Retained
2013,01053091,Retained
